time_s,avg_waiting_time,max_waiting_time,throughput,conflict_count
1.0,0.0,0.0,0,0
2.0,0.0,0.0,0,0
3.0,0.0,0.0,0,0
4.0,0.0,0.0,0,0
5.0,0.0,0.0,0,0
6.0,0.0,0.0,0,0
7.0,0.0,0.0,0,0
8.0,0.0,0.0,0,0
9.0,0.0,0.0,0,0
10.0,0.0,0.0,0,0
11.0,0.0,0.0,0,0
12.0,0.0,0.0,0,0
13.0,0.0,0.0,0,0
14.0,0.14285714285714285,1.0,0,0
15.0,0.25,2.0,0,0
16.0,0.0,0.0,0,0
17.0,0.0,0.0,0,0
18.0,0.0,0.0,0,0
19.0,0.0,0.0,0,0
20.0,0.0,0.0,0,0
21.0,0.0,0.0,0,0
22.0,0.09090909090909091,1.0,0,0
23.0,0.16666666666666666,2.0,0,1
24.0,0.0,0.0,0,1
25.0,0.0,0.0,0,1
26.0,0.0,0.0,0,1
27.0,0.07692307692307693,1.0,0,1
28.0,0.0,0.0,0,1
29.0,0.0,0.0,0,1
30.0,0.0,0.0,0,1
31.0,0.0,0.0,0,1
32.0,0.0,0.0,0,1
33.0,0.0,0.0,0,1
34.0,0.0,0.0,0,1
35.0,0.058823529411764705,1.0,0,1
36.0,0.11764705882352941,2.0,0,1
37.0,0.05555555555555555,1.0,0,1
38.0,0.11764705882352941,2.0,0,1
39.0,0.2222222222222222,3.0,0,1
40.0,0.3888888888888889,4.0,0,1
41.0,0.2631578947368421,3.0,0,1
42.0,0.15789473684210525,3.0,0,1
43.0,0.0,0.0,0,1
44.0,0.0,0.0,0,1
45.0,0.0,0.0,0,1
46.0,0.047619047619047616,1.0,0,1
47.0,0.09523809523809523,2.0,0,1
48.0,0.13636363636363635,3.0,0,1
49.0,0.17391304347826086,4.0,0,1
50.0,0.2608695652173913,5.0,0,1
51.0,0.3333333333333333,6.0,0,1
52.0,0.43478260869565216,7.0,0,1
53.0,0.5217391304347826,8.0,0,1
54.0,0.0,0.0,0,1
55.0,0.0,0.0,0,1
56.0,0.0,0.0,0,1
57.0,0.0,0.0,0,1
58.0,0.047619047619047616,1.0,0,1
59.0,0.13043478260869565,2.0,0,1
60.0,0.21739130434782608,3.0,0,1
61.0,0.0,0.0,0,1
62.0,0.0,0.0,0,1
63.0,0.0,0.0,0,1
64.0,0.0,0.0,0,1
65.0,0.0,0.0,0,1
66.0,0.07692307692307693,1.0,0,1
67.0,0.07692307692307693,2.0,0,1
68.0,0.11538461538461539,3.0,0,2
69.0,0.18518518518518517,4.0,0,2
70.0,0.07407407407407407,2.0,0,2
71.0,0.0,0.0,0,2
72.0,0.0,0.0,0,2
73.0,0.0,0.0,0,2
74.0,0.0,0.0,0,2
75.0,0.0,0.0,0,2
76.0,0.0,0.0,0,2
77.0,0.0,0.0,0,2
78.0,0.0,0.0,0,2
79.0,0.0,0.0,0,2
80.0,0.0,0.0,0,2
81.0,0.041666666666666664,1.0,0,2
82.0,0.125,2.0,0,2
83.0,0.16666666666666666,3.0,0,2
84.0,0.2608695652173913,4.0,0,2
85.0,0.3333333333333333,5.0,0,2
86.0,0.43478260869565216,6.0,0,2
87.0,0.5217391304347826,7.0,0,2
88.0,0.6818181818181818,8.0,0,2
89.0,0.782608695652174,9.0,0,2
90.0,1.0,10.0,0,2
91.0,0.6818181818181818,11.0,0,2
92.0,0.5454545454545454,12.0,0,2
93.0,0.0,0.0,0,2
94.0,0.045454545454545456,1.0,0,2
95.0,0.09090909090909091,2.0,0,2
96.0,0.0,0.0,0,2
97.0,0.0,0.0,0,2
98.0,0.0,0.0,0,2
99.0,0.0,0.0,0,2
100.0,0.0,0.0,0,2
101.0,0.0,0.0,0,2
102.0,0.0,0.0,0,2
103.0,0.0,0.0,0,2
104.0,0.0,0.0,0,2
105.0,0.0,0.0,0,2
106.0,0.0,0.0,0,2
107.0,0.0,0.0,0,2
108.0,0.05,1.0,0,2
109.0,0.0,0.0,0,2
110.0,0.0,0.0,0,2
111.0,0.0,0.0,0,2
112.0,0.0,0.0,0,2
113.0,0.0,0.0,0,2
114.0,0.05,1.0,0,2
115.0,0.09090909090909091,2.0,0,2
116.0,0.13636363636363635,3.0,0,2
117.0,0.22727272727272727,4.0,0,2
118.0,0.30434782608695654,5.0,0,2
119.0,0.375,6.0,0,2
120.0,0.4583333333333333,7.0,0,2
121.0,0.2,5.0,0,2
122.0,0.0,0.0,0,2
123.0,0.0,0.0,0,2
124.0,0.0,0.0,0,3
125.0,0.0,0.0,0,4
126.0,0.0,0.0,0,4
127.0,0.04,1.0,0,4
128.0,0.0,0.0,0,4
129.0,0.0,0.0,0,4
130.0,0.0,0.0,0,4
131.0,0.0,0.0,0,4
132.0,0.0,0.0,0,4
133.0,0.0,0.0,0,4
134.0,0.04,1.0,0,4
135.0,0.11538461538461539,2.0,0,4
136.0,0.08,2.0,0,4
137.0,0.11538461538461539,3.0,0,4
138.0,0.0,0.0,0,4
139.0,0.0,0.0,0,4
140.0,0.0,0.0,0,4
141.0,0.0,0.0,0,4
142.0,0.0,0.0,0,4
143.0,0.0,0.0,0,4
144.0,0.0,0.0,0,4
145.0,0.0,0.0,0,4
146.0,0.0,0.0,0,4
147.0,0.037037037037037035,1.0,0,4
148.0,0.07142857142857142,2.0,0,4
149.0,0.10714285714285714,3.0,0,4
150.0,0.19230769230769232,4.0,0,4
151.0,0.28,5.0,0,4
152.0,0.4090909090909091,6.0,0,4
153.0,0.5217391304347826,7.0,0,4
154.0,0.7272727272727273,8.0,0,4
155.0,0.8695652173913043,9.0,0,4
156.0,1.0434782608695652,10.0,0,4
157.0,1.1666666666666667,11.0,0,4
158.0,1.391304347826087,12.0,0,4
159.0,1.3043478260869565,13.0,0,4
160.0,1.4782608695652173,14.0,0,4
161.0,1.5833333333333333,15.0,0,5
162.0,1.826086956521739,16.0,0,5
163.0,1.9583333333333333,17.0,0,5
164.0,2.1666666666666665,18.0,0,5
165.0,2.375,19.0,0,5
166.0,2.4166666666666665,20.0,0,6
167.0,2.52,21.0,0,6
168.0,2.72,22.0,0,6
169.0,2.0,20.0,0,6
170.0,1.375,18.0,0,6
171.0,0.7083333333333334,12.0,0,6
172.0,0.2608695652173913,6.0,0,6
173.0,0.30434782608695654,7.0,0,6
174.0,0.34782608695652173,8.0,0,6
175.0,0.391304347826087,9.0,0,6
176.0,0.43478260869565216,10.0,0,6
177.0,0.4583333333333333,11.0,0,6
178.0,0.5,12.0,0,6
179.0,0.52,13.0,0,6
180.0,0.56,14.0,0,6
181.0,0.6,15.0,0,6
182.0,0.7083333333333334,16.0,0,6
183.0,0.8,17.0,0,6
184.0,1.0454545454545454,18.0,0,6
185.0,1.2380952380952381,19.0,0,6
186.0,1.380952380952381,20.0,0,6
187.0,1.4545454545454546,21.0,0,6
188.0,1.5909090909090908,22.0,0,6
189.0,1.7272727272727273,23.0,0,6
190.0,1.8636363636363635,24.0,0,6
191.0,2.0,25.0,0,6
192.0,1.0,11.0,0,6
193.0,0.5238095238095238,11.0,0,6
194.0,0.0,0.0,0,6
195.0,0.0,0.0,0,6
196.0,0.0,0.0,0,6
197.0,0.0,0.0,0,6
198.0,0.1,1.0,0,6
199.0,0.18181818181818182,2.0,0,6
200.0,0.36363636363636365,3.0,0,6
201.0,0.5454545454545454,4.0,0,6
202.0,0.6956521739130435,5.0,0,6
203.0,0.6666666666666666,6.0,0,6
204.0,0.9047619047619048,7.0,0,6
205.0,1.0454545454545454,8.0,0,6
206.0,1.2272727272727273,9.0,0,6
207.0,1.391304347826087,10.0,0,6
208.0,1.608695652173913,11.0,0,6
209.0,1.75,12.0,0,6
210.0,2.0434782608695654,13.0,0,6
211.0,2.260869565217391,14.0,0,6
212.0,2.5217391304347827,15.0,0,6
213.0,2.6666666666666665,16.0,0,6
214.0,2.9166666666666665,17.0,0,6
215.0,2.32,18.0,0,6
216.0,2.56,19.0,0,6
217.0,2.6153846153846154,20.0,0,6
218.0,2.08,19.0,0,6
219.0,1.48,15.0,0,6
220.0,0.36,9.0,0,6
221.0,0.0,0.0,0,6
222.0,0.038461538461538464,1.0,0,6
223.0,0.12,2.0,0,6
224.0,0.20833333333333334,3.0,0,6
225.0,0.28,4.0,0,6
226.0,0.16,4.0,0,6
227.0,0.0,0.0,0,6
228.0,0.041666666666666664,1.0,0,6
229.0,0.08333333333333333,2.0,0,6
230.0,0.13636363636363635,3.0,0,6
231.0,0.17391304347826086,4.0,0,6
232.0,0.0,0.0,0,6
233.0,0.043478260869565216,1.0,0,6
234.0,0.08695652173913043,2.0,0,6
235.0,0.125,3.0,0,6
236.0,0.18181818181818182,4.0,0,6
237.0,0.22727272727272727,5.0,0,6
238.0,0.2857142857142857,6.0,0,6
239.0,0.3181818181818182,7.0,0,6
240.0,0.36363636363636365,8.0,0,6
241.0,0.4090909090909091,9.0,0,6
242.0,0.43478260869565216,10.0,0,6
243.0,0.4583333333333333,11.0,0,6
244.0,0.5652173913043478,12.0,0,6
245.0,0.09090909090909091,2.0,0,6
246.0,0.0,0.0,0,6
247.0,0.0,0.0,0,6
248.0,0.043478260869565216,1.0,0,6
249.0,0.08695652173913043,2.0,0,6
250.0,0.0,0.0,0,6
251.0,0.0,0.0,0,6
252.0,0.041666666666666664,1.0,0,6
253.0,0.0,0.0,0,6
254.0,0.041666666666666664,1.0,0,6
255.0,0.08695652173913043,2.0,0,6
256.0,0.13043478260869565,3.0,0,6
257.0,0.16666666666666666,4.0,0,6
258.0,0.20833333333333334,5.0,0,6
259.0,0.25,6.0,0,6
260.0,0.2916666666666667,7.0,0,6
261.0,0.3333333333333333,8.0,0,6
262.0,0.391304347826087,9.0,0,6
263.0,0.4782608695652174,10.0,0,6
264.0,0.6666666666666666,11.0,0,6
265.0,0.8095238095238095,12.0,0,6
266.0,1.0,13.0,0,6
267.0,1.0869565217391304,14.0,0,6
268.0,0.6363636363636364,6.0,0,6
269.0,0.7391304347826086,7.0,0,6
270.0,0.8333333333333334,8.0,0,6
271.0,1.0454545454545454,9.0,0,6
272.0,0.9090909090909091,10.0,0,6
273.0,0.9130434782608695,11.0,0,6
274.0,1.0434782608695652,12.0,0,6
275.0,1.0416666666666667,13.0,0,6
276.0,1.125,14.0,0,6
277.0,1.16,15.0,0,6
278.0,1.2916666666666667,16.0,0,6
279.0,1.375,17.0,0,6
280.0,1.4583333333333333,18.0,0,6
281.0,1.48,19.0,0,6
282.0,1.625,20.0,0,6
283.0,1.7083333333333333,21.0,0,6
284.0,1.8695652173913044,22.0,0,6
285.0,0.9565217391304348,22.0,0,6
286.0,0.0,0.0,0,6
287.0,0.0,0.0,0,6
288.0,0.0,0.0,0,6
289.0,0.0,0.0,0,6
290.0,0.04,1.0,0,6
291.0,0.08333333333333333,2.0,0,6
292.0,0.12,3.0,0,6
293.0,0.04,1.0,0,6
294.0,0.043478260869565216,1.0,0,6
295.0,0.08695652173913043,2.0,0,6
296.0,0.13043478260869565,3.0,0,6
297.0,0.16666666666666666,4.0,0,6
298.0,0.20833333333333334,5.0,0,6
299.0,0.3076923076923077,6.0,0,6
300.0,0.4230769230769231,7.0,0,6
301.0,0.5185185185185185,8.0,0,6
302.0,0.6538461538461539,9.0,0,6
303.0,0.5769230769230769,10.0,0,6
304.0,0.68,11.0,0,6
305.0,0.5,12.0,0,6
306.0,0.5769230769230769,13.0,0,6
307.0,0.1111111111111111,3.0,0,6
308.0,0.0,0.0,0,6
309.0,0.0,0.0,0,6
310.0,0.0,0.0,0,6
311.0,0.0,0.0,0,6
312.0,0.0,0.0,0,6
313.0,0.034482758620689655,1.0,0,6
314.0,0.06896551724137931,2.0,0,6
315.0,0.10344827586206896,3.0,0,7
316.0,0.13793103448275862,4.0,0,7
317.0,0.19230769230769232,5.0,0,7
318.0,0.2692307692307692,6.0,0,7
319.0,0.36,7.0,0,7
320.0,0.46153846153846156,8.0,0,7
321.0,0.5555555555555556,9.0,0,7
322.0,0.6666666666666666,10.0,0,7
323.0,0.7857142857142857,11.0,0,7
324.0,0.9285714285714286,12.0,0,7
325.0,1.0344827586206897,13.0,0,7
326.0,1.2413793103448276,14.0,0,7
327.0,1.4482758620689655,15.0,0,7
328.0,1.6551724137931034,16.0,0,7
329.0,1.2333333333333334,12.0,0,7
330.0,0.8,11.0,0,7
331.0,0.4838709677419355,9.0,0,7
332.0,0.23333333333333334,7.0,0,7
333.0,0.0,0.0,0,7
334.0,0.0,0.0,0,7
335.0,0.0,0.0,0,7
336.0,0.06666666666666667,1.0,0,7
337.0,0.06896551724137931,2.0,0,7
338.0,0.10714285714285714,3.0,0,7
339.0,0.14285714285714285,4.0,0,7
340.0,0.17857142857142858,5.0,0,7
341.0,0.0,0.0,0,7
342.0,0.0,0.0,0,7
343.0,0.0,0.0,0,7
344.0,0.0,0.0,0,7
345.0,0.0,0.0,0,7
346.0,0.0,0.0,0,7
347.0,0.0,0.0,0,7
348.0,0.0,0.0,0,7
349.0,0.0,0.0,0,7
350.0,0.0,0.0,0,7
351.0,0.0,0.0,0,7
352.0,0.0,0.0,0,7
353.0,0.034482758620689655,1.0,0,7
354.0,0.07142857142857142,2.0,0,7
355.0,0.14285714285714285,3.0,0,7
356.0,0.21428571428571427,4.0,0,7
357.0,0.2857142857142857,5.0,0,7
358.0,0.0,0.0,0,7
359.0,0.0,0.0,0,7
360.0,0.0,0.0,0,7
361.0,0.0,0.0,0,7
362.0,0.0,0.0,0,7
363.0,0.0,0.0,0,7
364.0,0.0,0.0,0,7
365.0,0.0,0.0,0,7
366.0,0.0,0.0,0,7
367.0,0.034482758620689655,1.0,0,7
368.0,0.06896551724137931,2.0,0,8
369.0,0.10714285714285714,3.0,0,8
370.0,0.14814814814814814,4.0,0,8
371.0,0.2222222222222222,5.0,0,8
372.0,0.27586206896551724,6.0,0,8
373.0,0.3448275862068966,7.0,0,8
374.0,0.43333333333333335,8.0,0,8
375.0,0.5666666666666667,9.0,0,8
376.0,0.6774193548387096,10.0,0,8
377.0,0.78125,11.0,0,8
378.0,0.9354838709677419,12.0,0,8
379.0,1.096774193548387,13.0,0,8
380.0,0.8333333333333334,10.0,0,8
381.0,0.6206896551724138,8.0,0,8
382.0,0.4642857142857143,8.0,0,8
383.0,0.39285714285714285,9.0,0,8
384.0,0.0,0.0,0,9
385.0,0.0,0.0,0,10
386.0,0.0,0.0,0,10
387.0,0.0,0.0,0,10
388.0,0.037037037037037035,1.0,0,11
389.0,0.0,0.0,0,12
390.0,0.0,0.0,0,12
391.0,0.038461538461538464,1.0,0,13
392.0,0.07407407407407407,2.0,0,13
393.0,0.0,0.0,0,13
394.0,0.0,0.0,0,13
395.0,0.0,0.0,0,13
396.0,0.0,0.0,0,13
397.0,0.038461538461538464,1.0,0,13
398.0,0.07692307692307693,2.0,0,13
399.0,0.1111111111111111,3.0,0,14
400.0,0.14814814814814814,4.0,0,14
401.0,0.18518518518518517,5.0,0,14
402.0,0.23076923076923078,6.0,0,14
403.0,0.25925925925925924,7.0,0,14
404.0,0.0,0.0,0,14
405.0,0.0,0.0,0,14
406.0,0.0,0.0,0,14
407.0,0.0,0.0,0,14
408.0,0.0,0.0,0,14
409.0,0.0,0.0,0,14
410.0,0.0,0.0,0,15
411.0,0.038461538461538464,1.0,0,16
412.0,0.07407407407407407,2.0,0,16
413.0,0.1111111111111111,3.0,0,16
414.0,0.15384615384615385,4.0,0,16
415.0,0.18518518518518517,5.0,0,16
416.0,0.2222222222222222,6.0,0,16
417.0,0.25925925925925924,7.0,0,17
418.0,0.3333333333333333,8.0,0,18
419.0,0.36,9.0,0,18
420.0,0.4583333333333333,10.0,0,18
421.0,0.56,11.0,0,18
422.0,0.56,12.0,0,18
423.0,0.7083333333333334,13.0,0,18
424.0,0.64,14.0,0,18
425.0,0.75,15.0,0,19
426.0,0.16666666666666666,4.0,0,19
427.0,0.0,0.0,0,19
428.0,0.041666666666666664,1.0,0,19
429.0,0.08,2.0,0,19
430.0,0.12,3.0,0,19
431.0,0.15384615384615385,4.0,0,19
432.0,0.23076923076923078,5.0,0,19
433.0,0.36,6.0,0,19
434.0,0.5217391304347826,7.0,0,19
435.0,0.5,8.0,0,19
436.0,0.5833333333333334,9.0,0,19
437.0,0.64,10.0,0,19
438.0,0.75,11.0,0,19
439.0,0.8,12.0,0,19
440.0,0.9166666666666666,13.0,0,19
441.0,0.96,14.0,0,19
442.0,0.44,11.0,0,19
443.0,0.0,0.0,0,19
444.0,0.0,0.0,0,19
445.0,0.0,0.0,0,19
446.0,0.0,0.0,0,19
447.0,0.041666666666666664,1.0,0,19
448.0,0.041666666666666664,1.0,0,19
449.0,0.0,0.0,0,19
450.0,0.0,0.0,0,20
451.0,0.0,0.0,0,20
452.0,0.0,0.0,0,20
453.0,0.047619047619047616,1.0,0,20
454.0,0.09523809523809523,2.0,0,20
455.0,0.0,0.0,0,20
456.0,0.0,0.0,0,20
457.0,0.045454545454545456,1.0,0,20
458.0,0.08695652173913043,2.0,0,20
459.0,0.0,0.0,0,20
460.0,0.041666666666666664,1.0,0,20
461.0,0.043478260869565216,1.0,0,20
462.0,0.09090909090909091,2.0,0,20
463.0,0.13636363636363635,3.0,0,20
464.0,0.0,0.0,0,20
465.0,0.0,0.0,0,20
466.0,0.0,0.0,0,20
467.0,0.045454545454545456,1.0,0,20
468.0,0.09090909090909091,2.0,0,20
469.0,0.13636363636363635,3.0,0,20
470.0,0.05,1.0,0,20
471.0,0.0,0.0,0,20
472.0,0.0,0.0,0,20
473.0,0.0,0.0,0,20
474.0,0.0,0.0,0,20
475.0,0.0,0.0,0,20
476.0,0.0,0.0,0,20
477.0,0.0,0.0,0,20
478.0,0.0,0.0,0,20
479.0,0.0,0.0,0,20
480.0,0.0,0.0,0,20
481.0,0.0,0.0,0,20
482.0,0.0,0.0,0,20
483.0,0.0,0.0,0,20
484.0,0.0,0.0,0,20
485.0,0.058823529411764705,1.0,0,20
486.0,0.1875,2.0,0,20
487.0,0.3125,3.0,0,20
488.0,0.4375,4.0,0,20
489.0,0.0,0.0,0,20
490.0,0.0,0.0,0,20
491.0,0.05555555555555555,1.0,0,20
492.0,0.1111111111111111,2.0,0,20
493.0,0.0,0.0,0,20
494.0,0.0,0.0,0,20
495.0,0.0,0.0,0,20
496.0,0.0,0.0,0,20
497.0,0.0,0.0,0,20
498.0,0.0,0.0,0,20
499.0,0.0,0.0,0,20
500.0,0.0,0.0,0,20
501.0,0.0,0.0,0,20
502.0,0.05,1.0,0,20
503.0,0.1,2.0,0,20
504.0,0.14285714285714285,3.0,0,20
505.0,0.0,0.0,0,20
506.0,0.0,0.0,0,20
507.0,0.0,0.0,0,20
508.0,0.0,0.0,0,20
509.0,0.0,0.0,0,20
510.0,0.0,0.0,0,20
511.0,0.0,0.0,0,20
512.0,0.0,0.0,0,20
513.0,0.0,0.0,0,20
514.0,0.0,0.0,0,20
515.0,0.0,0.0,0,20
516.0,0.0,0.0,0,20
517.0,0.0,0.0,0,20
518.0,0.0,0.0,0,20
519.0,0.0,0.0,0,20
520.0,0.0,0.0,0,20
521.0,0.0,0.0,0,20
522.0,0.0,0.0,0,20
523.0,0.0,0.0,0,20
524.0,0.0,0.0,0,21
525.0,0.0,0.0,0,21
526.0,0.041666666666666664,1.0,0,21
527.0,0.08333333333333333,2.0,0,21
528.0,0.13043478260869565,3.0,0,21
529.0,0.16666666666666666,4.0,0,22
530.0,0.2916666666666667,5.0,0,22
531.0,0.4,6.0,0,22
532.0,0.52,7.0,0,23
533.0,0.6153846153846154,8.0,0,23
534.0,0.7307692307692307,9.0,0,23
535.0,0.8148148148148148,10.0,0,23
536.0,0.9259259259259259,11.0,0,23
537.0,1.0357142857142858,12.0,0,23
538.0,0.7857142857142857,13.0,0,25
539.0,0.8571428571428571,14.0,0,25
540.0,0.896551724137931,15.0,0,25
541.0,0.9333333333333333,16.0,0,25
542.0,1.0344827586206897,17.0,0,25
543.0,1.103448275862069,18.0,0,25
544.0,1.1724137931034482,19.0,0,25
545.0,1.2413793103448276,20.0,0,25
546.0,1.3928571428571428,21.0,0,26
547.0,1.5357142857142858,22.0,0,26
548.0,1.6785714285714286,23.0,0,26
549.0,1.7586206896551724,24.0,0,26
550.0,1.0344827586206897,21.0,0,26
551.0,0.3793103448275862,6.0,0,26
552.0,0.20689655172413793,6.0,0,26
553.0,0.0,0.0,0,26
554.0,0.0,0.0,0,26
555.0,0.0,0.0,0,26
556.0,0.0,0.0,0,26
557.0,0.0,0.0,0,26
558.0,0.0,0.0,0,26
559.0,0.0,0.0,0,27
560.0,0.06451612903225806,1.0,0,27
561.0,0.13333333333333333,2.0,0,27
562.0,0.23333333333333334,3.0,0,27
563.0,0.3333333333333333,4.0,0,27
564.0,0.43333333333333335,5.0,0,27
565.0,0.5666666666666667,6.0,0,27
566.0,0.7333333333333333,7.0,0,27
567.0,0.8709677419354839,8.0,0,27
568.0,1.032258064516129,9.0,0,27
569.0,1.15625,10.0,0,27
570.0,1.032258064516129,11.0,0,27
571.0,0.9,12.0,0,27
572.0,0.7419354838709677,13.0,0,27
573.0,0.8125,14.0,0,27
574.0,0.9354838709677419,15.0,0,27
575.0,1.032258064516129,16.0,0,27
576.0,1.15625,17.0,0,27
577.0,1.2121212121212122,18.0,0,27
578.0,1.28125,19.0,0,27
579.0,1.375,20.0,0,27
580.0,1.5161290322580645,21.0,0,27
581.0,1.6666666666666667,22.0,0,28
582.0,1.7666666666666666,23.0,0,28
583.0,1.8064516129032258,24.0,0,28
584.0,1.903225806451613,25.0,0,28
585.0,2.0,26.0,0,28
586.0,2.1666666666666665,27.0,0,29
587.0,2.2666666666666666,28.0,0,30
588.0,2.5357142857142856,29.0,0,30
589.0,2.5517241379310347,30.0,0,30
590.0,2.6551724137931036,31.0,0,31
591.0,2.6666666666666665,32.0,0,31
592.0,2.8620689655172415,33.0,0,31
593.0,2.8666666666666667,34.0,0,32
594.0,3.0,35.0,0,32
595.0,3.2413793103448274,36.0,0,32
596.0,3.4482758620689653,37.0,0,32
597.0,2.3448275862068964,32.0,0,32
598.0,1.4137931034482758,29.0,0,32
599.0,0.4666666666666667,6.0,0,32
600.0,0.3333333333333333,5.0,0,32
601.0,0.4,6.0,0,32
602.0,0.3103448275862069,5.0,0,32
603.0,0.2413793103448276,3.0,0,32
604.0,0.39285714285714285,4.0,0,32
605.0,0.3076923076923077,5.0,0,32
606.0,0.23076923076923078,6.0,0,32
607.0,0.2692307692307692,7.0,0,32
608.0,0.34782608695652173,8.0,0,32
609.0,0.36,9.0,0,32
610.0,0.4,10.0,0,32
611.0,0.5,11.0,0,32
612.0,0.6153846153846154,12.0,0,32
613.0,0.7692307692307693,13.0,0,32
614.0,0.8333333333333334,14.0,0,32
615.0,0.96,15.0,0,32
616.0,1.0833333333333333,16.0,0,32
617.0,1.2083333333333333,17.0,0,32
618.0,1.3333333333333333,18.0,0,32
619.0,1.3461538461538463,19.0,0,32
620.0,1.52,20.0,0,32
621.0,1.5769230769230769,21.0,0,32
622.0,1.6923076923076923,22.0,0,32
623.0,1.92,23.0,0,32
624.0,2.0,24.0,0,32
625.0,1.4642857142857142,25.0,0,32
626.0,1.1851851851851851,26.0,0,32
627.0,1.1111111111111112,27.0,0,32
628.0,1.1923076923076923,28.0,0,32
629.0,1.36,29.0,0,32
630.0,0.15384615384615385,4.0,0,32
631.0,0.18518518518518517,5.0,0,32
632.0,0.2222222222222222,6.0,0,32
633.0,0.25925925925925924,7.0,0,32
634.0,0.32,8.0,0,32
635.0,0.36,9.0,0,32
636.0,0.38461538461538464,10.0,0,32
637.0,0.5,11.0,0,32
638.0,0.625,12.0,0,32
639.0,0.72,13.0,0,32
640.0,0.84,14.0,0,32
641.0,0.7307692307692307,15.0,0,32
642.0,0.7777777777777778,16.0,0,32
643.0,0.8571428571428571,17.0,0,32
644.0,0.8928571428571429,18.0,0,32
645.0,1.0,19.0,0,32
646.0,1.0740740740740742,20.0,0,32
647.0,1.1071428571428572,21.0,0,32
648.0,1.1785714285714286,22.0,0,32
649.0,1.25,23.0,0,32
650.0,1.3214285714285714,24.0,0,32
651.0,1.3448275862068966,25.0,0,32
652.0,1.5,26.0,0,32
653.0,1.7307692307692308,27.0,0,32
654.0,1.1923076923076923,28.0,0,32
655.0,1.2222222222222223,29.0,0,32
656.0,1.2962962962962963,30.0,0,32
657.0,1.3214285714285714,31.0,0,32
658.0,1.3928571428571428,32.0,0,32
659.0,1.4137931034482758,33.0,0,32
660.0,1.5357142857142858,34.0,0,32
661.0,1.6071428571428572,35.0,0,32
662.0,1.8076923076923077,36.0,0,32
663.0,1.96,37.0,0,32
664.0,2.04,38.0,0,32
665.0,2.0384615384615383,39.0,0,32
666.0,2.1153846153846154,40.0,0,32
667.0,2.1923076923076925,41.0,0,32
668.0,2.4,42.0,0,32
669.0,2.52,43.0,0,32
670.0,2.68,44.0,0,32
671.0,2.76,45.0,0,32
672.0,2.769230769230769,46.0,0,32
673.0,2.7777777777777777,47.0,0,32
674.0,2.888888888888889,48.0,0,32
675.0,3.037037037037037,49.0,0,32
676.0,3.185185185185185,50.0,0,32
677.0,3.25,51.0,0,32
678.0,3.357142857142857,52.0,0,32
679.0,3.4482758620689653,53.0,0,32
680.0,3.586206896551724,54.0,0,32
681.0,3.7586206896551726,55.0,0,32
682.0,3.9655172413793105,56.0,0,32
683.0,4.033333333333333,57.0,0,32
684.0,4.233333333333333,58.0,0,32
685.0,4.433333333333334,59.0,0,32
686.0,4.633333333333334,60.0,0,32
687.0,4.67741935483871,61.0,0,32
688.0,4.870967741935484,62.0,0,32
689.0,3.032258064516129,38.0,0,32
690.0,2.103448275862069,23.0,0,32
691.0,1.4,17.0,0,32
692.0,1.5333333333333334,18.0,0,32
693.0,1.0,15.0,0,32
694.0,0.5806451612903226,13.0,0,32
695.0,0.25806451612903225,6.0,0,32
696.0,0.12903225806451613,2.0,0,32
697.0,0.22580645161290322,3.0,0,32
698.0,0.3225806451612903,4.0,0,32
699.0,0.4375,5.0,0,32
700.0,0.6129032258064516,6.0,0,32
701.0,0.78125,7.0,0,32
702.0,0.96875,8.0,0,32
703.0,1.1875,9.0,0,32
704.0,1.4516129032258065,10.0,0,32
705.0,1.6774193548387097,11.0,0,32
706.0,1.9666666666666666,12.0,0,32
707.0,2.129032258064516,13.0,0,32
708.0,2.433333333333333,14.0,0,32
709.0,2.5806451612903225,15.0,0,32
710.0,2.9,16.0,0,32
711.0,3.1333333333333333,17.0,0,32
712.0,2.8333333333333335,18.0,0,32
713.0,2.4516129032258065,19.0,0,32
714.0,2.2333333333333334,20.0,0,32
715.0,2.3548387096774195,21.0,0,32
716.0,2.066666666666667,22.0,0,32
717.0,1.8,23.0,0,32
718.0,1.0357142857142858,18.0,0,32
719.0,0.5357142857142857,8.0,0,32
720.0,0.21428571428571427,4.0,0,32
721.0,0.1724137931034483,5.0,0,32
722.0,0.20689655172413793,6.0,0,32
723.0,0.25,7.0,0,32
724.0,0.0,0.0,0,32
725.0,0.0,0.0,0,32
726.0,0.0,0.0,0,32
727.0,0.037037037037037035,1.0,0,33
728.0,0.08,2.0,0,34
729.0,0.11538461538461539,3.0,0,34
730.0,0.21739130434782608,4.0,0,34
731.0,0.08695652173913043,2.0,0,34
732.0,0.13043478260869565,3.0,0,34
733.0,0.0,0.0,0,34
734.0,0.0,0.0,0,34
735.0,0.0,0.0,0,34
736.0,0.047619047619047616,1.0,0,34
737.0,0.09090909090909091,2.0,0,34
738.0,0.13636363636363635,3.0,0,34
739.0,0.17391304347826086,4.0,0,34
740.0,0.2727272727272727,5.0,0,34
741.0,0.3333333333333333,6.0,0,34
742.0,0.125,3.0,0,34
743.0,0.0,0.0,0,34
744.0,0.0,0.0,0,34
745.0,0.0,0.0,0,34
746.0,0.0,0.0,0,34
747.0,0.0,0.0,0,34
748.0,0.0,0.0,0,34
